id: 1,name: Bouvière,price: 900,loc: Rivière,shadow: 1,time_st: 0, time_end: 0, month_st: 11, month_end: 3
id: 2,name: Chevaine,price: 200,loc: Rivière,shadow: 1,time_st: 9, time_end: 16, month_st: 0, month_end: 0
id: 3,name: Carassin,price: 160,loc: Rivière,shadow: 2,time_st: 0, time_end: 0, month_st: 0, month_end: 0
id: 4,name: Vandoise,price: 192,loc: Rivière,shadow: 3,time_st: 16, time_end: 9, month_st: 0, month_end: 0
id: 5,name: Carpe,price: 300,loc: Étang,shadow: 4,time_st: 0, time_end: 0, month_st: 0, month_end: 0
id: 6,name: Carpe koï,price: 4000,loc: Étang,shadow: 4,time_st: 16, time_end: 9, month_st: 0, month_end: 0
id: 7,name: Poisson rouge,price: 1300,loc: Étang,shadow: 1,time_st: 0, time_end: 0, month_st: 0, month_end: 0
id: 8,name: Cyprin doré,price: 1300,loc: Étang,shadow: 1,time_st: 9, time_end: 16, month_st: 0, month_end: 0
id: 9,name: Ranchu,price: 4500,loc: Étang,shadow: 2,time_st: 9, time_end: 16, month_st: 0, month_end: 0
id: 10,name: Fondule barré,price: 300,loc: Étang,shadow: 1,time_st: 0, time_end: 0, month_st: 4, month_end: 8
id: 11,name: Écrevisse,price: 200,loc: Étang,shadow: 2,time_st: 0, time_end: 0, month_st: 4, month_end: 9
id: 12,name: Tortue trionyx,price: 3750,loc: Rivière,shadow: 4,time_st: 16, time_end: 9, month_st: 8, month_end: 9
id: 13,name: Tortue serpentine,price: 5000,loc: Rivière,shadow: 5,time_st: 21, time_end: 4, month_st: 4, month_end: 10
id: 14,name: Têtard,price: 100,loc: Étang,shadow: 1,time_st: 0, time_end: 0, month_st: 3, month_end: 7
id: 15,name: Grenouille,price: 120,loc: Étang,shadow: 2,time_st: 0, time_end: 0, month_st: 5, month_end: 8
id: 16,name: Gobie d'eau douce,price: 400,loc: Rivière,shadow: 2,time_st: 16, time_end: 9, month_st: 0, month_end: 0
id: 17,name: Loche d'étang,price: 400,loc: Rivière,shadow: 2,time_st: 0, time_end: 0, month_st: 3, month_end: 5
id: 18,name: Silure,price: 800,loc: Étang,shadow: 4,time_st: 16, time_end: 9, month_st: 5, month_end: 10
id: 19,name: Tête de serpent,price: 5500,loc: Étang,shadow: 5,time_st: 9, time_end: 16, month_st: 6, month_end: 8
id: 20,name: Crapet,price: 180,loc: Rivière,shadow: 2,time_st: 9, time_end: 16, month_st: 0, month_end: 0
id: 21,name: Perche jaune,price: 300,loc: Rivière,shadow: 3,time_st: 0, time_end: 0, month_st: 10, month_end: 3
id: 22,name: Bar,price: 320,loc: Rivière,shadow: 4,time_st: 0, time_end: 0, month_st: 0, month_end: 0
id: 23,name: Tilapia,price: 800,loc: Rivière,shadow: 3,time_st: 0, time_end: 0, month_st: 6, month_end: 10
id: 24,name: Brochet,price: 1800,loc: Rivière,shadow: 5,time_st: 0, time_end: 0, month_st: 9, month_end: 12
id: 25,name: Éperlan,price: 500,loc: Rivière,shadow: 2,time_st: 0, time_end: 0, month_st: 12, month_end: 2
id: 26,name: Ayu,price: 900,loc: Rivière,shadow: 3,time_st: 0, time_end: 0, month_st: 7, month_end: 9
id: 27,name: Saumon masou,price: 800,loc: Rivière (falaise),shadow: 3,time_st: 16, time_end: 9, month_st: 3, month_end: 6
id: 28,name: Saumon masou,price: 800,loc: Rivière (falaise),shadow: 3,time_st: 16, time_end: 9, month_st: 9, month_end: 11
id: 29,name: Omble,price: 3800,loc: Rivière (falaise)  Étang,shadow: 3,time_st: 16, time_end: 9, month_st: 3, month_end: 6
id: 30,name: Omble,price: 3800,loc: Rivière (falaise)  Étang,shadow: 3,time_st: 16, time_end: 9, month_st: 9, month_end: 11
id: 31,name: Truite dorée,price: 15000,loc: Rivière (falaise),shadow: 3,time_st: 16, time_end: 9, month_st: 3, month_end: 5
id: 32,name: Truite dorée,price: 15000,loc: Rivière (falaise),shadow: 3,time_st: 16, time_end: 9, month_st: 9, month_end: 11
id: 33,name: Dai yu,price: 15000,loc: Rivière (falaise),shadow: 5,time_st: 16, time_end: 9, month_st: 12, month_end: 3
id: 34,name: Saumon,price: 700,loc: Rivière (embouchure),shadow: 4,time_st: 0, time_end: 0, month_st: 9, month_end: 9
id: 35,name: Saumon roi,price: 1800,loc: Rivière (embouchure),shadow: 6,time_st: 0, time_end: 0, month_st: 9, month_end: 9
id: 36,name: Crabe chinois,price: 2000,loc: Rivière,shadow: 2,time_st: 16, time_end: 9, month_st: 9, month_end: 11
id: 37,name: Guppy,price: 1300,loc: Rivière,shadow: 1,time_st: 9, time_end: 16, month_st: 4, month_end: 11
id: 38,name: Poisson-docteur,price: 1500,loc: Rivière,shadow: 1,time_st: 9, time_end: 16, month_st: 5, month_end: 9
id: 39,name: Poisson-ange,price: 3000,loc: Rivière,shadow: 2,time_st: 16, time_end: 9, month_st: 5, month_end: 10
id: 40,name: Combattant,price: 2500,loc: Rivière,shadow: 2,time_st: 9, time_end: 16, month_st: 5, month_end: 10
id: 41,name: Néon bleu,price: 500,loc: Rivière,shadow: 1,time_st: 9, time_end: 16, month_st: 4, month_end: 11
id: 42,name: Poisson arc-en-ciel,price: 800,loc: Rivière,shadow: 1,time_st: 9, time_end: 16, month_st: 5, month_end: 10
id: 43,name: Piranha,price: 2500,loc: Rivière,shadow: 2,time_st: 9, time_end: 16, month_st: 6, month_end: 9
id: 44,name: Piranha,price: 2500,loc: Rivière,shadow: 2,time_st: 21, time_end: 4, month_st: 6, month_end: 9
id: 45,name: Arowana,price: 10000,loc: Rivière,shadow: 4,time_st: 16, time_end: 9, month_st: 6, month_end: 9
id: 46,name: Dorade,price: 15000,loc: Rivière,shadow: 5,time_st: 4, time_end: 21, month_st: 6, month_end: 9
id: 47,name: Gar,price: 6000,loc: Étang,shadow: 6,time_st: 16, time_end: 9, month_st: 6, month_end: 9
id: 48,name: Arapaïma,price: 10000,loc: Rivière,shadow: 6,time_st: 16, time_end: 9, month_st: 6, month_end: 9
id: 49,name: Bichir,price: 4000,loc: Rivière,shadow: 4,time_st: 21, time_end: 4, month_st: 6, month_end: 9
id: 50,name: Esturgeon,price: 10000,loc: Rivière (embouchure),shadow: 6,time_st: 0, time_end: 0, month_st: 9, month_end: 3
id: 51,name: Clione,price: 1000,loc: Océan,shadow: 1,time_st: 0, time_end: 0, month_st: 12, month_end: 3
id: 52,name: Hippocampe,price: 1100,loc: Océan,shadow: 1,time_st: 0, time_end: 0, month_st: 4, month_end: 11
id: 53,name: Poisson-clown,price: 650,loc: Océan,shadow: 1,time_st: 0, time_end: 0, month_st: 4, month_end: 9
id: 54,name: Poisson chirurgien,price: 1000,loc: Océan,shadow: 2,time_st: 0, time_end: 0, month_st: 4, month_end: 9
id: 55,name: Poisson-papillon,price: 1000,loc: Océan,shadow: 2,time_st: 0, time_end: 0, month_st: 4, month_end: 9
id: 56,name: Napoléon,price: 10000,loc: Océan,shadow: 6,time_st: 4, time_end: 21, month_st: 7, month_end: 8
id: 57,name: Poisson-scorpion,price: 500,loc: Océan,shadow: 3,time_st: 0, time_end: 0, month_st: 4, month_end: 11
id: 58,name: Poisson ballon,price: 5000,loc: Océan,shadow: 3,time_st: 21, time_end: 4, month_st: 11, month_end: 2
id: 59,name: Poisson porc-épic,price: 250,loc: Océan,shadow: 3,time_st: 0, time_end: 0, month_st: 7, month_end: 9
